f_medidor_id,f_cliente_id,f_ts_utc,f_ano_mes_ref,f_valor_m3,f_pulsos,f_status_sensor,f_flag_vazamento,f_ingested_at,f_archived_at,_doc_id
MTR-0001,1,2024-03-21T22:00:00+00:00,2024-03,0.01156470588235294,12,1,False,2025-09-18T20:42:54.136000+00:00,,02GMRspByGlCt2xfe1uo
MTR-0001,1,2024-03-12T02:00:00+00:00,2024-03,0.010388235294117648,10,1,False,2025-09-18T20:42:36.925000+00:00,,0CGjn2AzB8CEz4IZ7y2r
MTR-0001,1,2024-03-20T16:00:00+00:00,2024-03,0.012129411764705882,12,1,False,2025-09-18T20:42:51.980000+00:00,,0KVJtvd1o2teFkYL6Ha9
MTR-0001,1,2024-03-28T15:00:00+00:00,2024-03,0.011023529411764706,11,1,False,2025-09-18T20:43:05.732000+00:00,,0QEzZ2lWLJ6zll73Z8No
MTR-0001,1,2024-03-17T20:00:00+00:00,2024-03,0.011352941176470588,11,1,False,2025-09-18T20:42:47.102000+00:00,,0SThfjJxLmaUdEdcRg47
MTR-0001,1,2024-03-12T04:00:00+00:00,2024-03,0.008270588235294118,8,1,False,2025-09-18T20:42:37.079000+00:00,,0gjxijwesu6fYqSLrCZl
MTR-0001,1,2024-03-12T16:00:00+00:00,2024-03,0.012223529411764706,12,1,False,2025-09-18T20:42:38.030000+00:00,,0oUwg9vZWMP1PIYOEZ3d
MTR-0001,1,2024-03-12T08:00:00+00:00,2024-03,0.011800000000000001,12,1,False,2025-09-18T20:42:37.463000+00:00,,0wOK4ify7ueE38qKn2Wi
MTR-0001,1,2024-03-22T22:00:00+00:00,2024-03,0.007776470588235294,8,1,False,2025-09-18T20:42:55.865000+00:00,,0yKkZ7phpygq1zewNWJu
MTR-0001,1,2024-03-22T06:00:00+00:00,2024-03,0.012741176470588235,13,1,False,2025-09-18T20:42:54.714000+00:00,,18Bedb5nQNIa406s3TUQ
MTR-0001,1,2024-03-12T14:00:00+00:00,2024-03,0.011823529411764707,12,1,False,2025-09-18T20:42:37.886000+00:00,,1CzrkdiUKFWln0MqUVeF
MTR-0001,1,2024-03-19T23:00:00+00:00,2024-03,0.013000000000000001,13,1,False,2025-09-18T20:42:50.770000+00:00,,1MyALZ3D6IL50CBpsPW9
MTR-0001,1,2024-03-22T09:00:00+00:00,2024-03,0.0072352941176470585,7,1,False,2025-09-18T20:42:54.929000+00:00,,1fOZtMcKOiNtCcI78UbP
MTR-0001,1,2024-03-11T16:00:00+00:00,2024-03,0.010411764705882353,10,1,False,2025-09-18T20:42:36.184000+00:00,,1jdbYRiHBrTNiX6fjbHU
MTR-0001,1,2024-03-22T08:00:00+00:00,2024-03,0.008529411764705883,9,1,False,2025-09-18T20:42:54.858000+00:00,,1tfdqNOjVrSfkuWT4GRp
MTR-0001,1,2024-03-23T08:00:00+00:00,2024-03,0.008623529411764705,9,1,False,2025-09-18T20:42:56.591000+00:00,,1yVvtqTlzCuhSBn23akh
MTR-0001,1,2024-03-21T15:00:00+00:00,2024-03,0.01083529411764706,11,1,False,2025-09-18T20:42:53.639000+00:00,,20SboedXBX7plIWU2BuS
MTR-0001,1,2024-03-12T12:00:00+00:00,2024-03,0.0114,11,1,False,2025-09-18T20:42:37.752000+00:00,,2DqmgLIou7lIwuNsF4Tm
MTR-0001,1,2024-03-28T06:00:00+00:00,2024-03,0.0086,9,1,False,2025-09-18T20:43:05.084000+00:00,,2HfjAqBb25aalDDUXzVb
MTR-0001,1,2024-03-23T05:00:00+00:00,2024-03,0.012529411764705883,13,1,False,2025-09-18T20:42:56.374000+00:00,,2dv2YwCpHGUbGVIMWp1w
MTR-0001,1,2024-03-23T07:00:00+00:00,2024-03,0.010105882352941176,10,1,False,2025-09-18T20:42:56.518000+00:00,,2hvgXoknCTso2jTEjlo8
MTR-0001,1,2024-03-15T22:00:00+00:00,2024-03,0.012505882352941176,13,1,False,2025-09-18T20:42:43.668000+00:00,,2jfsyRRzeokntuxUVB3H
MTR-0001,1,2024-03-11T19:00:00+00:00,2024-03,0.009588235294117647,10,1,False,2025-09-18T20:42:36.400000+00:00,,2k2LCdXneaydTP8N3Aii
MTR-0001,1,2024-03-29T17:00:00+00:00,2024-03,0.01248235294117647,12,1,False,2025-09-18T20:43:07.613000+00:00,,2l8NiIL2vUfeIhK1Q4RO
MTR-0001,1,2024-03-27T19:00:00+00:00,2024-03,0.011776470588235294,12,1,False,2025-09-18T20:43:04.260000+00:00,,2vCNkrvGZIifRbvYv5Mm
MTR-0001,1,2024-03-27T15:00:00+00:00,2024-03,0.011941176470588235,12,1,False,2025-09-18T20:43:03.965000+00:00,,2w2YOc9Ia3cimGewJzFN
MTR-0001,1,2024-03-22T03:00:00+00:00,2024-03,0.007094117647058824,7,1,False,2025-09-18T20:42:54.487000+00:00,,2yeHKtUOjoZ3NjKG8gHX
MTR-0001,1,2024-03-21T14:00:00+00:00,2024-03,0.007752941176470588,8,1,False,2025-09-18T20:42:53.568000+00:00,,2yiTFHYP45PAJTwKJPrD
MTR-0001,1,2024-03-26T08:00:00+00:00,2024-03,0.012505882352941176,13,1,False,2025-09-18T20:43:01.750000+00:00,,3OvffuSWner0URRulyBT
